vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
10 - Fabian Retamosa;190-La Dolfina;24026-HAMB. EXTRA X42 CAMPOSUR;16;2;0;2;14;12.5;126
10 - Fabian Retamosa;190-La Dolfina;24057-MORTADELA 4K DOLFINA;100.79;0.5;0;0.5;100.29;0.5;78.5
10 - Fabian Retamosa;190-La Dolfina;24054-PANCHOS LARGOS 2KG LA DOLFINA (27);119.79;4.05;0;4.05;115.74;3.38;724.95
10 - Fabian Retamosa;200-Quesos Pacama;13003-PACAMA RALLADO FINO X 100 GR;1792;15;4;19;1773;1.06;1245.5
10 - Fabian Retamosa;200-Quesos Pacama;13004-PACAMA RALLADO GRUESO X 100 GR;1457;15;45;60;1397;4.12;3764.52
10 - Fabian Retamosa;200-Quesos Pacama;13000-PACAMA X 1 KG FINO;268;1;2.21;3.21;264.79;1.2;1569.5
10 - Fabian Retamosa;200-Quesos Pacama;13001-PACAMA X 1 KG GRUESO;273;0;1;1;272;0.37;456
10 - Fabian Retamosa;281-Vinos;16073-FIN del MUNDO POSTALES MALBEC 750;32;1;0;1;31;3.13;232.9
10 - Fabian Retamosa;291-Yerba Arminio;16075-ARMIÑO COMPUESTA 1KG;184;6;1;7;177;3.8;1281
10 - Fabian Retamosa;291-Yerba Arminio;16078-ARMIÑO COMPUESTA 500 GR;267;3;0;3;264;1.12;291
10 - Fabian Retamosa;291-Yerba Arminio;16076-ARMIÑO SUAVE 1 KG;194;3;0;3;191;1.55;498
10 - Fabian Retamosa;291-Yerba Arminio;24179-ARMIÑO SUAVE 100GR (CAJA X12);1;1;0;1;0;100;276
10 - Fabian Retamosa;291-Yerba Arminio;16080-ARMIÑO SUAVE 500 GR;265;6;0;6;259;2.26;534
10 - Fabian Retamosa;297-Pilas;36122-PILAS BATERIAS  CR2032 3.0V X5;1;1;0;1;0;100;150
10 - Fabian Retamosa;297-Pilas;36123-PILAS BATERIAS CR2025 3.0 X5;3;1;0;1;2;33.33;141
10 - Fabian Retamosa;370-Gema;19715-ACEITE ALGODON BIDON 5LT FIORELLA;1;1;0;1;0;100;765
10 - Fabian Retamosa;380-Raciones;R9011-BOB DOG PREMIUM ADULTO RAZA PEQ. 7K;3;1;0;1;2;33.33;834.32
10 - Fabian Retamosa;410-Avanti-Tapas;20503-EMPANADA CASERA X12 AVANTI- 28 X CAJA;40;0;3;3;37;7.5;363
