vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;65-Empaquetados chicos Mc cain;6681-PULPA DE PALTA MC CAIN 450g (12);6;1;1;2;4;33.33;595
1 - Jorge;65-Empaquetados chicos Mc cain;13511-SIETE MARES FILET MERLUZA X 1K(C10);7;2;0;2;5;28.57;786
1 - Jorge;70-Artico;6531-ARROLLADITO PRIMAVERA ARTICO 50 UNID (BOLSA) (10);500;5;0;5;495;1;1401.25
1 - Jorge;70-Artico;9907-ARTICO MINI CROQUETA ESP Y QUESO 1K (6);45;3;0;3;42;6.67;1037.4
1 - Jorge;70-Artico;9908-ARTICO MINI CROQUETA JAM Y QUESO 1K (6);56;4;0;4;52;7.14;1401.4
1 - Jorge;70-Artico;6789-ARTICO PULPA DE MARACUYA 1K (6);6;6;0;6;0;100;3570
1 - Jorge;70-Artico;8834-BARRITAS DE MUZZA 2K ARTICO(3);54;1;0;1;53;1.85;821
1 - Jorge;70-Artico;10062-BROCOLI ARTICO 1KG (10);158;5;0;5;153;3.16;760
1 - Jorge;70-Artico;8824-CEBOLLA 1K ARTICO(10);1881;74;0;74;1807;3.93;8700.03
1 - Jorge;70-Artico;8828-CHAMPIGNION ENTERO 1K ARTICO (10);9;0;1;1;8;11.11;187.15
1 - Jorge;70-Artico;8920-DURAZNO EN MITADES ARTICO 1kg (10);0;3;0;3;-3;100;630
1 - Jorge;70-Artico;8917-ENSALADA DE BROCOLI 1k ARTICO(10);102;10;1;11;91;10.78;1501.5
1 - Jorge;70-Artico;8826-ESPINACA 1K ARTICO(10);176;10;0;10;166;5.68;1596
1 - Jorge;70-Artico;8918-EUROMIX 1 KG ARTICO (10);199;10;0;10;189;5.03;1453.5
1 - Jorge;70-Artico;8847-FILET MERLUZA S/ESPINA ARTICO x 1kg(10);179;13;0;13;166;7.26;5275
1 - Jorge;70-Artico;6504-FORMITAS DE MERLUZA ARTICO 2k (3);34;6;0;6;28;17.65;2720.25
1 - Jorge;70-Artico;8836-FORMITAS DE POLLO 2kg ARTICO (3);277;10;0;10;267;3.61;5424.4
1 - Jorge;70-Artico;7104-FRUTILLA CONGELADA 2KG;9;3;0;3;6;33.33;450
1 - Jorge;70-Artico;8818-MEDALLON MERLUZA 2 KG ARTICO (3);118;3;0;3;115;2.54;1316.7
1 - Jorge;70-Artico;8835-MEDALLON POLLO 2K ARTICO (3);263;10;0;10;253;3.8;5761.8
1 - Jorge;70-Artico;13535-MEXICANA 1K ARTICO (10);184;0;2;2;182;1.09;298.3
1 - Jorge;70-Artico;14021-MILANESA DE POLLO 500g ARTICO (15);154;10;0;10;144;6.49;1820
1 - Jorge;70-Artico;8916-MILANESA DE POLLO ARTICO 1K (C6);13;6;0;6;7;46.15;2352
1 - Jorge;70-Artico;6537-MILANESA MERLUZA 1K ARTICO x6;510;21;0;21;489;4.12;8920.79
1 - Jorge;70-Artico;6519-MIX FRUTOS ROJOS ARTICO (10);37;2;0;2;35;5.41;640
1 - Jorge;70-Artico;8825-MORRON ROJO 1K ARTICO (10);1203;26;6;32;1171;2.66;5280
1 - Jorge;70-Artico;13507-PANGA X 1 K ARTICO(10);120;5;0;5;115;4.17;1275
1 - Jorge;70-Artico;8919-PUERRO ARTICO 1kg (10);99;2;0;2;97;2.02;280
1 - Jorge;80-Congelados DYSA;7022-BROCOLI 2.5 KG C.NAVARRA;0;0;1;1;-1;100;498
1 - Jorge;80-Congelados DYSA;7101-MAIZ 400G NAVARRA;0;0;6;6;-6;100;504
1 - Jorge;80-Congelados DYSA;7051-MEXICANA 2.5 KG NAVARRA;0;0;2;2;-2;100;840
1 - Jorge;82-CONGELADOS CAMBAY;4504-MARACUYA CONGELADO CAMBAY 1kg;69;10;0;10;59;14.49;5600
1 - Jorge;83-CAMBAY PREPARACION;4524-VAINILLA 1Lt CAMBAY (12);96;6;0;6;90;6.25;570
1 - Jorge;90-Doña Coca;7523-JAMON RUVI CUADRADO DOÑA COCA;415.07;32.01;0;32.01;383.06;7.71;9859.08
1 - Jorge;90-Doña Coca;7508-MORTADELA DOÑA COCA;155.3;4;0;4;151.3;2.58;73.2
1 - Jorge;90-Doña Coca;7512-PALETA ET. ROJA DOÑA COCA;18.35;6.3;0;6.3;12.05;34.33;1449
1 - Jorge;90-Doña Coca;7500-SALAME MILAN DOÑA COCA;226.71;2.75;0;2.75;223.96;1.21;1256.75
1 - Jorge;99-FETEADOS CENTENARIO;11020-JAMON COCIDO ET DORADA EN FETAS (200G);57;0;11;11;46;19.3;1077.28
1 - Jorge;99-FETEADOS CENTENARIO;8696-JAMON ET.AZUL EN FETAS 200G;18;0;3;3;15;16.67;495.7
1 - Jorge;99-FETEADOS CENTENARIO;8697-JAMON ET.NEGRA EN FETAS 200G;61;0;8;8;53;13.11;950.4
1 - Jorge;99-FETEADOS CENTENARIO;9000-LEONESA PREMIUM FETAS (200g) CENTENARIO;0;0;1;1;-1;100;66.95
1 - Jorge;99-FETEADOS CENTENARIO;8695-PANCETA CENTENARIO EN FETAS 200G;63;0;7;7;56;11.11;1010.4
1 - Jorge;100-Centenario;9665-BARRA SANDWICH 4k CENTENARIO;312;12;3.28;15.28;296.72;4.9;5409.12
1 - Jorge;100-Centenario;9668-CHACARERO CENTENARIO VACIO;3.45;0;0.2;0.2;3.25;5.8;152.6
1 - Jorge;100-Centenario;9661-CHORIZO ESPAÑOL X3 CENTENARIO;5.65;0;1.6;1.6;4.05;28.32;785.24
1 - Jorge;100-Centenario;8722-CHORIZO EXTRA CENTENARIO X3 UNID (KG);46.55;0;0.4;0.4;46.15;0.86;186.48
