vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
6 - David Sosa;604-Culinex;700377617-ZANAHORIA EN CUBO 2.5 HUERTA DEL ESTE;70;1;0;1;69;1.43;264
6 - David Sosa;605-Panes Zinho;840466517-PAN DE AJO C/QUESO ZINHO;72;0;1;1;71;1.39;129.29
6 - David Sosa;606-EMPANADAS -CRUFI;720201833-EMPANADA ATUN X6 CRUFI;16;2;0;2;14;12.5;580
6 - David Sosa;606-EMPANADAS -CRUFI;720301502-EMPANADA CARNE X3 CRUFI;3;0;1;1;2;33.33;118.18
6 - David Sosa;606-EMPANADAS -CRUFI;720301505-EMPANADA QUESO/ACEITUNA X 3 CRUFI;0;0;1;1;-1;100;147
6 - David Sosa;608-PASTAS CRUFI;730160801-ÑOQUIS 1KG CRUFI;126;0;1;1;125;0.79;173
6 - David Sosa;608-PASTAS CRUFI;239267-RAVIOLES JAMON Y MUZZA 750 GRS CRUFI;2;2;0;2;0;100;416.94
6 - David Sosa;608-PASTAS CRUFI;730301806-RAVIOLES POLLO 750 GRS CRUFI;2;2;0;2;0;100;369.26
6 - David Sosa;608-PASTAS CRUFI;730301804-RAVIOLES RICOTA 750 GRS CRUFI;4;2;0;2;2;50;369.26
6 - David Sosa;608-PASTAS CRUFI;730301807-RAVIOLES VERDURA 750grs CRUFI;5;1;0;1;4;20;184.63
6 - David Sosa;608-PASTAS CRUFI;731260805-SORRENTINOS J Y MUZZ 750GR CRUFI;9;0;1;1;8;11.11;336
6 - David Sosa;609-REBOZADOS DE POLLO CRUFI;880101806-MEDALLONES POLLO 1kg CRUFI;19;3;0;3;16;15.79;830.38
6 - David Sosa;609-REBOZADOS DE POLLO CRUFI;880201806-MEDALLONES POLLO 2.5kg CRUFI;68;4;0;4;64;5.88;3351.6
6 - David Sosa;609-REBOZADOS DE POLLO CRUFI;780601832-NUGGET CLASICA CRUFI 2,5kg (NUEVAS);50;1;0;1;49;2;623
6 - David Sosa;609-REBOZADOS DE POLLO CRUFI;780501832-NUGGET CLASICA CRUFI 900g (NUEVAS);27;1;0;1;26;3.7;253
6 - David Sosa;609-REBOZADOS DE POLLO CRUFI;9515-NUGGET POLLO 2.5KG SEARA;253;1;0;1;252;0.4;760
6 - David Sosa;612-PESCADO NATURAL CRUFI;860474815-M. DEL ESTE FILET MERLUZA S/ESPINA;34;2;0;2;32;5.88;788
6 - David Sosa;613-PAN SIN GLUTEN;840883628-VITANZZA PAN FRANCES AJO S/GLUTEN 200g;0;0;1;1;-1;100;145
6 - David Sosa;613-PAN SIN GLUTEN;840983514-VITANZZA PAN FRANCES S/ GLUTEN 180g;0;0;1;1;-1;100;0
6 - David Sosa;614-PIZZA SIN GLUTEN;841301824-PIZZA MUZZA SIN GLUTEN 260g CRUFI;3;3;0;3;0;100;636
6 - David Sosa;663-Aderezos Del Gaucho;24730-MOSTAZA DEL GAUCHO x100g DP (Cx14);2;1;0;1;1;50;276.15
6 - David Sosa;700-PROMOL;30503-GRANIX CEREAL CHOCOLATE GRANEL 3KG;1;1;0;1;0;100;690.9
6 - David Sosa;999-Sin calificar;2036-DTOS. OTORGADOS;0;19.57;0;19.57;-19.57;100;5023.41
6 - David Sosa;1009-carbon;30100-CARBON 3 KG LAPACHO;375;15;0;15;360;4;1394.99
6 - David Sosa;1034-Leopoldo Gross Aderezos;24545-HEINZ SALSA SOYA 148ML (48);2;2;0;2;0;100;158
6 - David Sosa;1100-Punta Ballena Galletitas;27130-MARIA BONITA MALTEADA INTEGRAL 380g (12);12;0;7;7;5;58.33;948.15
6 - David Sosa;1100-Punta Ballena Galletitas;27104-MARIA BONITA MALTEADA S/SAL 380G (12);42;18;0;18;24;42.86;2322.01
6 - David Sosa;1100-Punta Ballena Galletitas;27042-MAYONESA URUGUAY 500G (15);0;0;5;5;-5;100;514.5
6 - David Sosa;1100-Punta Ballena Galletitas;1312-PUNTA BA. DULCE DE LECHE CREMOSO 900g;5;4;0;4;1;80;580
6 - David Sosa;1100-Punta Ballena Galletitas;27008-PUNTA BA. FELICITA CHOCO 400grs X12;27;0;10;10;17;37.04;1080.01
6 - David Sosa;1101-DOCILE PUNTA BALLENA;27072-GOMINOLAS HALLOWEEN 150grs X30 DOCILE PUNTA BA.;20;0;13;13;7;65;650.01
6 - David Sosa;1102-Punta Ballena Alfajores;27004-PUNTA BA. ALFAJOR PLAY NIEVE X12;7;0;1;1;6;14.29;259.6
6 - David Sosa;1102-Punta Ballena Alfajores;19615-PUNTA BA. ALFAJOR TRIPLE BLANCO X 12 (9);9;1;0;1;8;11.11;324.5
6 - David Sosa;1102-Punta Ballena Alfajores;27123-PUNTA BA. ALFAJOR TRIPLE CHOCOLATE X 12 (9);17;0;1.17;1.17;15.83;6.86;378.37
6 - David Sosa;1102-Punta Ballena Alfajores;27108-PUNTA BA. CLASICO CHOCOLATE X 12;3;0;1;1;2;33.33;259.6
6 - David Sosa;1149-GALLETAS MOLINOS DEL SOL;3432-CORLASA MUZZARELLA X 3.5;519.18;3.52;0;3.52;515.66;0.68;1232
