vendedor,linea,articulo,venta_bruta,dev_Buen_Estado,dev_Mal_Estado,dev_total,venta_neta,porc_dev,tot_dev_$
1 - Jorge,13-PASTAS 200 Unidades,521-RAVIOLES VERDURA 200UNIDADES TERRUÑO,1308.0,2.0,0.0,2.0,1306.0,0.15,270.0
1 - Jorge,30-Dulces La Granjera,2002-MEMBRILLO L.G 4 KG.,12.0,1.0,0.0,1.0,11.0,8.33,362.0
1 - Jorge,50-Quesos,5053-BARRA SANDW CALCAR 4KG,446.95,12.0,14.0,26.0,420.95,5.82,8217.6
1 - Jorge,50-Quesos,5050-MUZZARELLA X 4K CALCAR,510.96,10.7,0.0,10.7,500.26,2.09,4113.7
1 - Jorge,50-Quesos,5055-REQUESON CALCAR,131.0,0.0,2.0,2.0,129.0,1.53,196.0
1 - Jorge,51-Manteca,1337-MANTECA 5kg MILKCREAM,96.0,1.0,7.0,8.0,88.0,8.33,11200.0
1 - Jorge,52-Crema Doble,5087-CREMA DOBLE X 1/2LT,886.0,4.0,24.0,28.0,858.0,3.16,2909.15
1 - Jorge,52-Crema Doble,5088-CREMA DOBLE X 1/4 LT,870.0,4.0,42.0,46.0,824.0,5.29,4094.01
1 - Jorge,52-Crema Doble,5086-CREMA DOBLE X 1LT,1161.0,10.0,20.0,30.0,1131.0,2.58,5861.84
1 - Jorge,53-Yogur,5075-GELATINA CALCAR FRUTILLA,423.0,10.0,6.0,16.0,407.0,3.78,465.6
1 - Jorge,53-Yogur,5090-POSTRE BOB VAINILLA,844.0,3.0,29.0,32.0,812.0,3.79,1185.45
1 - Jorge,53-Yogur,5089-POSTRE C/ROCKLES,658.0,0.0,52.0,52.0,606.0,7.9,2209.71
1 - Jorge,53-Yogur,5244-YOGUR 0% DURAZNO,154.0,1.0,26.0,27.0,127.0,17.53,1923.4
1 - Jorge,53-Yogur,5243-YOGUR 0% FRUTILLA,132.0,0.0,14.0,14.0,118.0,10.61,981.15
1 - Jorge,53-Yogur,5057-YOGUR 0% NATURAL,75.0,0.0,3.0,3.0,72.0,4.0,205.8
1 - Jorge,53-Yogur,5082-YOGUR BEBIBLE DR,349.0,3.0,54.0,57.0,292.0,16.33,3107.3
1 - Jorge,53-Yogur,5081-YOGUR BEBIBLE FR,357.0,3.0,79.0,82.0,275.0,22.97,4460.52
1 - Jorge,53-Yogur,5078-YOGUR BIO DR C/DR,710.0,8.0,86.01,94.01,615.99,13.24,6760.52
