vendedor,linea,articulo,venta_bruta,dev_Buen_Estado,dev_Mal_Estado,dev_total,venta_neta,porc_dev,tot_dev_$
50 - Depósito,440-OFERTAS,252-OFERTA BOMBON AVELLANO ITALIANA 500ml,5.0,5.0,0.0,5.0,0.0,100.0,839.05
50 - Depósito,440-OFERTAS,253-OFERTA DULCE DE LECHE ITALIANA 500ml,5.0,5.0,0.0,5.0,0.0,100.0,839.05
50 - Depósito,440-OFERTAS,5197-OFERTA MUZZARELLA CALCAR,220.31,1.7,0.0,1.7,218.61,0.77,491.3
50 - Depósito,440-OFERTAS,255-OFERTA SAMB. C/ALMENDRAS ITALIANA 500ml,9.0,9.0,0.0,9.0,0.0,100.0,1510.29
50 - Depósito,469-Cañuela Harinas,22117-0000 HARINA FARINEL X1KG (12),325.0,4.0,0.0,4.0,321.0,1.23,156.0
50 - Depósito,469-Cañuela Harinas,22142-HARINA ET.AZUL X25K 0000,30.0,1.0,0.0,1.0,29.0,3.33,719.82
50 - Depósito,470-Cañuelas,22121-ACEITE CAÑUELAS DE GIRASOL 900ML,225.0,3.0,0.0,3.0,222.0,1.33,275.0
50 - Depósito,470-Cañuelas,22194-LEVADURA SECA FERMIPAN 500G,49.0,1.0,0.0,1.0,48.0,2.04,166.0
50 - Depósito,470-Cañuelas,0007-MAYONESA CAÑUELA 500g.  Cx12,11.0,1.0,0.0,1.0,10.0,9.09,107.0
50 - Depósito,471-Salsa Pontevedra,2302-CONCENTRADA S/S S/A TETRA 208 PONTEVEDRA,33.0,27.0,0.0,27.0,6.0,81.82,539.99
50 - Depósito,471-Salsa Pontevedra,22026-KETCHUP PACK 1KG PONTEVEDRA,27.0,1.0,0.0,1.0,26.0,3.7,0.0
50 - Depósito,471-Salsa Pontevedra,2289-TAMIZADA TETRA 205ML Cx27,115.0,27.0,0.0,27.0,88.0,23.48,445.51
50 - Depósito,472-Jugos Maxi,2272-MAXI MANZANA X1L,55.0,12.0,0.0,12.0,43.0,21.82,0.0
50 - Depósito,472-Jugos Maxi,2273-MAXI MULTIFRUTA 1L,101.0,16.0,0.0,16.0,85.0,15.84,190.8
50 - Depósito,480-Oderich,22098-MAYONESA 1 KG ODERICH,86.0,1.0,0.0,1.0,85.0,1.16,122.0
50 - Depósito,480-Oderich,22086-MOSTAZA 1K ODERICH,62.0,12.0,0.0,12.0,50.0,19.35,1320.0
50 - Depósito,504-Boby,23030-REX 25kg,46.0,2.0,0.0,2.0,44.0,4.35,1854.0
50 - Depósito,504-Boby,28000-URUPET´S 8kg,22.0,20.0,0.0,20.0,2.0,90.91,6800.01
50 - Depósito,604-Culinex,740267627-ARROLLADITOS PRIMAVERA BATUK 1kg,661.0,60.0,0.0,60.0,601.0,9.08,14176.64
50 - Depósito,604-Culinex,7003776001-ARVEJAS 2.5 KG HUERTA DEL ESTE,86.0,10.0,0.0,10.0,76.0,11.63,4323.0
50 - Depósito,604-Culinex,700367604-CEBOLLA BATUK 2.5KG,90.0,6.0,0.0,6.0,84.0,6.67,2079.0
50 - Depósito,604-Culinex,700350604-CEBOLLA DADOS 2.5KG HUERTA DEL ESTE,10.0,3.0,0.0,3.0,7.0,30.0,1270.5
50 - Depósito,604-Culinex,710301710-CROQUETAS 2.5K CRUFI,0.0,1.0,0.0,1.0,-1.0,100.0,489.0
